 4_0
-----------------------------------------------------------------------
 Push step   Relax step   Lanczos step   Potential energy   Eigenvalue
        22            2              7       -1979.290111    -1.114441
        22            3              7       -1979.290143    -1.114441
        22            4              7       -1979.290172    -1.114441
        22            5              7       -1979.290198    -1.114441
        22            6              7       -1979.290222    -1.114441
        22            7              7       -1979.290245    -1.114441
        22            8              7       -1979.290266    -1.114441
        22            9              7       -1979.290286    -1.114441
        22           10              7       -1979.290304    -1.114441
        22           11              7       -1979.290322    -1.114441
        22           12              7       -1979.290338    -1.114441
        22           13              7       -1979.290353    -1.114441
        22           14              7       -1979.290368    -1.114441
        22           15              7       -1979.290381    -1.114441
        22           16              7       -1979.290394    -1.114441
        22           17              7       -1979.290406    -1.114441
        23            0              3       -1979.290320    -1.938065
        23            1              3       -1979.290332    -1.938065
        23            2              3       -1979.290345    -1.938065
        23            3              3       -1979.290357    -1.938065
        23            4              3       -1979.290368    -1.938065
        23            5              3       -1979.290378    -1.938065
        23            6              3       -1979.290388    -1.938065
        23            7              3       -1979.290398    -1.938065
        23            8              3       -1979.290407    -1.938065
        23            9              3       -1979.290415    -1.938065
        23           10              3       -1979.290424    -1.938065
        23           11              3       -1979.290431    -1.938065
        23           12              3       -1979.290439    -1.938065
        23           13              3       -1979.290446    -1.938065
        23           14              3       -1979.290452    -1.938065
        23           15              3       -1979.290459    -1.938065
        23           16              3       -1979.290465    -1.938065
        23           17              3       -1979.290470    -1.938065
        23           18              3       -1979.290476    -1.938065
        23           19              3       -1979.290481    -1.938065
        23           20              3       -1979.290486    -1.938065
        23           21              3       -1979.290490    -1.938065
        23           22              3       -1979.290495    -1.938065
        23           23              3       -1979.290499    -1.938065
        23           24              3       -1979.290503    -1.938065
        23           25              3       -1979.290507    -1.938065
        23           26              3       -1979.290511    -1.938065
        23           27              3       -1979.290514    -1.938065
        23           28              3       -1979.290518    -1.938065
        23           29              3       -1979.290521    -1.938065
        23           30              3       -1979.290524    -1.938065
        23           31              3       -1979.290527    -1.938065
        23           32              3       -1979.290529    -1.938065
        23           33              3       -1979.290532    -1.938065
        23           34              3       -1979.290535    -1.938065
        23           35              3       -1979.290537    -1.938065
        23           36              3       -1979.290539    -1.938065
        23           37              3       -1979.290541    -1.938065
        23           38              3       -1979.290543    -1.938065
        23           39              3       -1979.290545    -1.938065
        23           40              3       -1979.290547    -1.938065
        23           41              3       -1979.290549    -1.938065
        23           42              3       -1979.290551    -1.938065
        23           43              3       -1979.290553    -1.938065
        23           44              3       -1979.290554    -1.938065
        23           45              3       -1979.290556    -1.938065
        23           46              3       -1979.290557    -1.938065
        23           47              3       -1979.290558    -1.938065
        23           48              3       -1979.290560    -1.938065
        23           49              3       -1979.290561    -1.938065
        23           50              3       -1979.290562    -1.938065
